file,kind,expected_exit_code,action
json_empty.json,config_syntax,3,validate_file
json_trailing_comma.json,config_syntax,3,validate_file
json_duplicate_key.json,config_syntax,3,validate_file
json_bad_surrogate.json,config_syntax,3,validate_file
json_bad_number.json,config_syntax,3,validate_file
yaml_anchor.yaml,config_syntax,3,validate_file
yaml_tab.yaml,config_syntax,3,validate_file
yaml_block_scalar.yaml,config_syntax,3,validate_file
yaml_duplicate_key.yaml,config_syntax,3,validate_file
yaml_document_marker.yaml,config_syntax,3,validate_file
config_bad_tick.json,config_semantic,4,validate_file
config_bad_capacity.json,config_semantic,4,validate_file
config_unknown_field.json,config_semantic,4,validate_file
config_seed_overflow.json,config_semantic,4,validate_file
config_bad_duration.json,config_semantic,4,validate_file
config_mixed_bad_sum.json,config_semantic,4,validate_file
config_burst_has_rate.json,config_semantic,4,validate_file
config_od_diagonal.json,config_semantic,4,validate_file
config_impossible_service.json,config_semantic,4,validate_file
config_bad_percentiles.json,config_semantic,4,validate_file
config_negative_energy.json,config_semantic,4,validate_file
trace_bad_header.csv,trace,5,replay_with_a23
trace_duplicate_id.csv,trace,5,replay_with_a23
trace_gap_id.csv,trace,5,replay_with_a23
trace_unsorted.csv,trace,5,replay_with_a23
trace_same_floor.csv,trace,5,replay_with_a23
trace_wrong_floor.csv,trace,5,replay_with_a23
trace_not_tick_aligned.csv,trace,5,replay_with_a23
trace_beyond_duration.csv,trace,5,replay_with_a23
trace_unserviceable.csv,trace,5,replay_with_a23
trace_empty_segment.csv,trace,5,replay_with_a23
trace_bad_quote.csv,trace,5,replay_with_a23
trace_extra_column.csv,trace,5,replay_with_a23
trace_bad_utf8.csv,trace,5,replay_with_a23
json_depth_129.json,config_syntax,3,validate_file
yaml_depth_129.yaml,config_syntax,3,validate_file
config_overlong_scenario_name.json,config_semantic,4,validate_file
config_overlong_elevator_id.json,config_semantic,4,validate_file
json_bad_utf8.json,config_syntax,3,validate_file
yaml_bad_utf8.yaml,config_syntax,3,validate_file
json_nul_string.json,config_syntax,3,validate_file
trace_overlong_segment.csv,trace,5,replay_with_a23
trace_nul_segment.csv,trace,5,replay_with_a23
config_burst_total_over_cap.json,config_semantic,4,validate_file
